"image_id","source_dataset","source_image_id","source_license","source_url","image_path","width","height"
"coco_454661","COCO","454661","","","images/coco_000000454661.jpg","640","427"
"coco_394892","COCO","394892","","","images/coco_000000394892.jpg","640","427"
"coco_362368","COCO","362368","","","images/coco_000000362368.jpg","334","500"
"coco_151742","COCO","151742","","","images/coco_000000151742.jpg","640","480"
"coco_267411","COCO","267411","","","images/coco_000000267411.jpg","640","494"
"coco_292464","COCO","292464","","","images/coco_000000292464.jpg","640","427"
"coco_523871","COCO","523871","","","images/coco_000000523871.jpg","640","480"
"coco_166277","COCO","166277","","","images/coco_000000166277.jpg","480","640"
"coco_576886","COCO","576886","","","images/coco_000000576886.jpg","640","428"
"coco_398377","COCO","398377","","","images/coco_000000398377.jpg","500","375"
"coco_281573","COCO","281573","","","images/coco_000000281573.jpg","640","428"
"coco_469635","COCO","469635","","","images/coco_000000469635.jpg","640","383"
"coco_566975","COCO","566975","","","images/coco_000000566975.jpg","500","348"
"coco_133680","COCO","133680","","","images/coco_000000133680.jpg","640","463"
"coco_215482","COCO","215482","","","images/coco_000000215482.jpg","640","480"
"coco_228558","COCO","228558","","","images/coco_000000228558.jpg","640","427"
"coco_346621","COCO","346621","","","images/coco_000000346621.jpg","537","640"
"coco_324338","COCO","324338","","","images/coco_000000324338.jpg","640","480"
"coco_326970","COCO","326970","","","images/coco_000000326970.jpg","640","480"
"coco_522727","COCO","522727","","","images/coco_000000522727.jpg","640","488"
"coco_217188","COCO","217188","","","images/coco_000000217188.jpg","640","427"
"coco_370677","COCO","370677","","","images/coco_000000370677.jpg","500","332"
"coco_121817","COCO","121817","","","images/coco_000000121817.jpg","640","360"
"coco_495732","COCO","495732","","","images/coco_000000495732.jpg","427","640"
"coco_74256","COCO","74256","","","images/coco_000000074256.jpg","640","480"
"coco_526956","COCO","526956","","","images/coco_000000526956.jpg","425","640"
"coco_437859","COCO","437859","","","images/coco_000000437859.jpg","640","480"
"coco_423617","COCO","423617","","","images/coco_000000423617.jpg","640","480"
"coco_147653","COCO","147653","","","images/coco_000000147653.jpg","640","501"
"coco_310072","COCO","310072","","","images/coco_000000310072.jpg","640","383"
"coco_97379","COCO","97379","","","images/coco_000000097379.jpg","640","480"
"coco_412676","COCO","412676","","","images/coco_000000412676.jpg","640","499"
"coco_497049","COCO","497049","","","images/coco_000000497049.jpg","640","480"
"coco_479350","COCO","479350","","","images/coco_000000479350.jpg","640","424"
"coco_504559","COCO","504559","","","images/coco_000000504559.jpg","500","447"
"coco_208740","COCO","208740","","","images/coco_000000208740.jpg","640","427"
"coco_170181","COCO","170181","","","images/coco_000000170181.jpg","612","612"
"coco_573686","COCO","573686","","","images/coco_000000573686.jpg","640","429"
"coco_90754","COCO","90754","","","images/coco_000000090754.jpg","500","357"
"coco_389256","COCO","389256","","","images/coco_000000389256.jpg","640","427"
"coco_329041","COCO","329041","","","images/coco_000000329041.jpg","480","640"
"coco_404922","COCO","404922","","","images/coco_000000404922.jpg","368","500"
