model,subset,classes,total,accuracy,overall_mbr,error_conditioned_mbr,a_mbr,out_of_set
Qwen2.5-VL-7B,all,all,4852,70.3,17.4,58.5,84.0,8.1
Qwen2.5-VL-7B,person_only,person,2590,75.1,14.6,58.6,82.3,6.9
Qwen2.5-VL-7B,car_only,car,1120,65.1,19.9,57.0,84.3,9.7
Qwen2.5-VL-7B,person_car,"car,person",3710,72.1,16.2,58.0,83.0,7.8
Qwen2.5-VL-7B,non_person_car,"bag,bottle,chair,cup,umbrella",1142,64.7,21.1,59.8,86.3,9.0
Qwen2.5-VL-7B,medium_support,"bag,chair,cup,umbrella",1126,64.7,21.0,59.5,86.9,9.1
InternVL3-8B,all,all,4852,69.0,20.0,64.6,82.9,8.3
InternVL3-8B,person_only,person,2590,73.7,15.8,59.8,85.8,8.2
InternVL3-8B,car_only,car,1120,64.5,24.4,68.6,76.9,7.4
InternVL3-8B,person_car,"car,person",3710,70.9,18.4,63.1,82.2,8.0
InternVL3-8B,non_person_car,"bag,bottle,chair,cup,umbrella",1142,62.9,25.4,68.4,84.5,9.2
InternVL3-8B,medium_support,"bag,chair,cup,umbrella",1126,63.1,25.3,68.7,84.2,9.1
LLaVA-1.5-7B,all,all,4852,51.6,33.2,68.6,79.0,9.5
LLaVA-1.5-7B,person_only,person,2590,55.4,31.7,71.1,81.2,8.5
LLaVA-1.5-7B,car_only,car,1120,46.6,36.0,67.4,73.2,9.8
LLaVA-1.5-7B,person_car,"car,person",3710,52.8,33.0,69.9,78.6,8.9
LLaVA-1.5-7B,non_person_car,"bag,bottle,chair,cup,umbrella",1142,47.7,34.0,65.0,80.4,11.4
LLaVA-1.5-7B,medium_support,"bag,chair,cup,umbrella",1126,47.7,33.9,64.9,80.6,11.5
