model,source_subset,total_questions,accuracy,overall_mbr,error_conditioned_mbr,a_mbr,out_of_set
Qwen2.5-VL-7B,all,4852,70.3,17.4,58.5,84.0,8.1
Qwen2.5-VL-7B,COCO,4102,70.4,17.8,60.0,83.4,7.5
Qwen2.5-VL-7B,non_coco,750,70.3,15.1,50.7,87.6,10.9
Qwen2.5-VL-7B,GQA,578,68.9,14.7,47.2,89.4,12.8
Qwen2.5-VL-7B,VAW,172,75.0,16.3,65.1,82.1,4.7
InternVL3-8B,all,4852,69.0,20.0,64.6,82.9,8.3
InternVL3-8B,COCO,4102,69.3,19.9,64.8,82.1,7.9
InternVL3-8B,non_coco,750,67.3,20.7,63.3,87.1,10.3
InternVL3-8B,GQA,578,65.9,21.5,62.9,85.5,10.6
InternVL3-8B,VAW,172,72.1,18.0,64.6,93.5,9.3
LLaVA-1.5-7B,all,4852,51.6,33.2,68.6,79.0,9.5
LLaVA-1.5-7B,COCO,4102,51.6,33.7,69.7,78.8,9.1
LLaVA-1.5-7B,non_coco,750,51.5,30.5,62.9,80.3,11.5
LLaVA-1.5-7B,GQA,578,51.4,28.9,59.4,81.4,12.1
LLaVA-1.5-7B,VAW,172,51.7,36.0,74.7,77.4,9.3
